time_tag,kp_index,estimated_kp,kp,Kp
2026-06-16 04:40:00,1,1.0,1Z,1
2026-06-16 04:41:00,1,1.0,1Z,1
2026-06-16 04:42:00,1,1.33,1P,1
2026-06-16 04:43:00,1,1.0,1Z,1
2026-06-16 04:44:00,1,1.0,1Z,1
2026-06-16 04:45:00,1,1.0,1Z,1
2026-06-16 04:46:00,1,1.0,1Z,1
2026-06-16 04:47:00,1,1.33,1P,1
2026-06-16 04:48:00,1,1.33,1P,1
2026-06-16 04:49:00,1,1.33,1P,1
2026-06-16 04:50:00,1,1.33,1P,1
2026-06-16 04:51:00,1,1.33,1P,1
2026-06-16 04:52:00,1,1.33,1P,1
2026-06-16 04:53:00,1,1.33,1P,1
2026-06-16 04:54:00,1,1.33,1P,1
2026-06-16 04:55:00,1,1.33,1P,1
2026-06-16 04:56:00,1,1.33,1P,1
2026-06-16 04:57:00,1,1.33,1P,1
2026-06-16 04:58:00,1,1.33,1P,1
2026-06-16 04:59:00,1,1.33,1P,1
2026-06-16 05:00:00,1,1.33,1P,1
2026-06-16 05:01:00,1,1.33,1P,1
2026-06-16 05:02:00,1,1.33,1P,1
2026-06-16 05:03:00,1,1.33,1P,1
2026-06-16 05:04:00,1,1.33,1P,1
2026-06-16 05:05:00,1,1.33,1P,1
2026-06-16 05:06:00,1,1.33,1P,1
2026-06-16 05:07:00,1,1.33,1P,1
2026-06-16 05:08:00,1,1.33,1P,1
2026-06-16 05:09:00,1,1.33,1P,1
2026-06-16 05:10:00,1,1.33,1P,1
2026-06-16 05:11:00,1,1.33,1P,1
2026-06-16 05:12:00,1,1.33,1P,1
2026-06-16 05:13:00,1,1.33,1P,1
2026-06-16 05:14:00,1,1.33,1P,1
2026-06-16 05:15:00,1,1.33,1P,1
2026-06-16 05:16:00,1,1.33,1P,1
2026-06-16 05:17:00,1,1.33,1P,1
2026-06-16 05:18:00,1,1.33,1P,1
2026-06-16 05:19:00,1,1.33,1P,1
2026-06-16 05:20:00,1,1.33,1P,1
2026-06-16 05:21:00,1,1.33,1P,1
2026-06-16 05:22:00,1,1.33,1P,1
2026-06-16 05:23:00,1,1.33,1P,1
2026-06-16 05:24:00,1,1.33,1P,1
2026-06-16 05:25:00,1,1.33,1P,1
2026-06-16 05:26:00,1,1.33,1P,1
2026-06-16 05:27:00,1,1.33,1P,1
2026-06-16 05:28:00,1,1.33,1P,1
2026-06-16 05:29:00,1,1.33,1P,1
2026-06-16 05:30:00,1,1.33,1P,1
2026-06-16 05:31:00,1,1.33,1P,1
2026-06-16 05:32:00,1,1.33,1P,1
2026-06-16 05:33:00,1,1.33,1P,1
2026-06-16 05:34:00,1,1.33,1P,1
2026-06-16 05:35:00,1,1.33,1P,1
2026-06-16 05:36:00,1,1.33,1P,1
2026-06-16 05:37:00,1,1.33,1P,1
2026-06-16 05:38:00,1,1.33,1P,1
2026-06-16 05:39:00,1,1.33,1P,1
2026-06-16 05:40:00,1,1.33,1P,1
2026-06-16 05:41:00,1,1.33,1P,1
2026-06-16 05:42:00,1,1.33,1P,1
2026-06-16 05:43:00,1,1.33,1P,1
2026-06-16 05:44:00,1,1.33,1P,1
2026-06-16 05:45:00,1,1.33,1P,1
2026-06-16 05:46:00,1,1.33,1P,1
2026-06-16 05:47:00,1,1.33,1P,1
2026-06-16 05:48:00,1,1.33,1P,1
2026-06-16 05:49:00,1,1.33,1P,1
2026-06-16 05:50:00,1,1.33,1P,1
2026-06-16 05:51:00,1,1.33,1P,1
2026-06-16 05:52:00,1,1.33,1P,1
2026-06-16 05:53:00,1,1.33,1P,1
2026-06-16 05:54:00,1,1.33,1P,1
2026-06-16 05:55:00,1,1.33,1P,1
2026-06-16 05:56:00,1,1.33,1P,1
2026-06-16 05:57:00,1,1.33,1P,1
2026-06-16 05:58:00,1,1.33,1P,1
2026-06-16 05:59:00,1,1.33,1P,1
2026-06-16 06:00:00,0,0.0,0Z,0
2026-06-16 06:01:00,0,0.0,0Z,0
2026-06-16 06:02:00,0,0.0,0Z,0
2026-06-16 06:03:00,0,0.0,0Z,0
2026-06-16 06:04:00,0,0.0,0Z,0
2026-06-16 06:05:00,0,0.0,0Z,0
2026-06-16 06:06:00,0,0.0,0Z,0
2026-06-16 06:07:00,0,0.0,0Z,0
2026-06-16 06:08:00,0,0.0,0Z,0
2026-06-16 06:09:00,0,0.0,0Z,0
2026-06-16 06:10:00,0,0.0,0Z,0
2026-06-16 06:11:00,0,0.0,0Z,0
2026-06-16 06:12:00,0,0.0,0Z,0
2026-06-16 06:13:00,0,0.0,0Z,0
2026-06-16 06:14:00,0,0.0,0Z,0
2026-06-16 06:15:00,0,0.0,0Z,0
2026-06-16 06:16:00,0,0.0,0Z,0
2026-06-16 06:17:00,0,0.0,0Z,0
2026-06-16 06:18:00,0,0.0,0Z,0
2026-06-16 06:19:00,0,0.0,0Z,0
2026-06-16 06:20:00,0,0.0,0Z,0
2026-06-16 06:21:00,0,0.0,0Z,0
2026-06-16 06:22:00,0,0.0,0Z,0
2026-06-16 06:23:00,0,0.0,0Z,0
2026-06-16 06:24:00,0,0.0,0Z,0
2026-06-16 06:25:00,0,0.0,0Z,0
2026-06-16 06:26:00,0,0.0,0Z,0
2026-06-16 06:27:00,0,0.33,0P,0
2026-06-16 06:28:00,0,0.33,0P,0
2026-06-16 06:29:00,0,0.33,0P,0
2026-06-16 06:30:00,0,0.0,0Z,0
2026-06-16 06:31:00,0,0.33,0P,0
2026-06-16 06:32:00,0,0.33,0P,0
2026-06-16 06:33:00,1,0.67,1M,1
2026-06-16 06:34:00,1,0.67,1M,1
2026-06-16 06:35:00,1,0.67,1M,1
2026-06-16 06:36:00,1,0.67,1M,1
2026-06-16 06:37:00,1,0.67,1M,1
2026-06-16 06:38:00,1,0.67,1M,1
2026-06-16 06:39:00,1,0.67,1M,1
2026-06-16 06:40:00,0,0.33,0P,0
2026-06-16 06:41:00,0,0.33,0P,0
2026-06-16 06:42:00,0,0.33,0P,0
