time_tag,kp_index,estimated_kp,kp,Kp
2026-02-17 23:16:00,2,2.33,2P,2
2026-02-17 23:17:00,2,2.33,2P,2
2026-02-17 23:18:00,2,2.33,2P,2
2026-02-17 23:19:00,2,2.33,2P,2
2026-02-17 23:20:00,2,2.33,2P,2
2026-02-17 23:21:00,2,2.33,2P,2
2026-02-17 23:22:00,2,2.33,2P,2
2026-02-17 23:23:00,2,2.33,2P,2
2026-02-17 23:24:00,2,2.33,2P,2
2026-02-17 23:25:00,2,2.33,2P,2
2026-02-17 23:26:00,2,2.33,2P,2
2026-02-17 23:27:00,2,2.33,2P,2
2026-02-17 23:28:00,2,2.33,2P,2
2026-02-17 23:29:00,2,2.33,2P,2
2026-02-17 23:30:00,3,2.67,3M,3
2026-02-17 23:31:00,3,2.67,3M,3
2026-02-17 23:32:00,3,2.67,3M,3
2026-02-17 23:33:00,3,2.67,3M,3
2026-02-17 23:34:00,3,2.67,3M,3
2026-02-17 23:35:00,3,2.67,3M,3
2026-02-17 23:36:00,3,2.67,3M,3
2026-02-17 23:37:00,3,2.67,3M,3
2026-02-17 23:38:00,3,2.67,3M,3
2026-02-17 23:39:00,3,2.67,3M,3
2026-02-17 23:40:00,3,2.67,3M,3
2026-02-17 23:41:00,3,2.67,3M,3
2026-02-17 23:42:00,3,2.67,3M,3
2026-02-17 23:43:00,3,2.67,3M,3
2026-02-17 23:44:00,3,2.67,3M,3
2026-02-17 23:45:00,2,2.33,2P,2
2026-02-17 23:46:00,2,2.33,2P,2
2026-02-17 23:47:00,2,2.33,2P,2
2026-02-17 23:48:00,2,2.33,2P,2
2026-02-17 23:49:00,2,2.33,2P,2
2026-02-17 23:50:00,2,2.33,2P,2
2026-02-17 23:51:00,2,2.33,2P,2
2026-02-17 23:52:00,2,2.33,2P,2
2026-02-17 23:53:00,2,2.33,2P,2
2026-02-17 23:54:00,2,2.33,2P,2
2026-02-17 23:55:00,2,2.33,2P,2
2026-02-17 23:56:00,2,2.33,2P,2
2026-02-17 23:57:00,2,2.33,2P,2
2026-02-17 23:58:00,2,2.33,2P,2
2026-02-17 23:59:00,2,2.33,2P,2
2026-02-18 00:00:00,0,0.0,0Z,0
2026-02-18 00:01:00,0,0.0,0Z,0
2026-02-18 00:02:00,0,0.0,0Z,0
2026-02-18 00:03:00,0,0.0,0Z,0
2026-02-18 00:04:00,0,0.0,0Z,0
2026-02-18 00:05:00,0,0.0,0Z,0
2026-02-18 00:06:00,0,0.0,0Z,0
2026-02-18 00:07:00,0,0.0,0Z,0
2026-02-18 00:08:00,0,0.0,0Z,0
2026-02-18 00:09:00,0,0.0,0Z,0
2026-02-18 00:10:00,0,0.0,0Z,0
2026-02-18 00:11:00,0,0.0,0Z,0
2026-02-18 00:12:00,0,0.0,0Z,0
2026-02-18 00:13:00,0,0.0,0Z,0
2026-02-18 00:14:00,0,0.0,0Z,0
2026-02-18 00:15:00,0,0.0,0Z,0
2026-02-18 00:16:00,0,0.0,0Z,0
2026-02-18 00:17:00,0,0.0,0Z,0
2026-02-18 00:18:00,0,0.0,0Z,0
2026-02-18 00:19:00,0,0.0,0Z,0
2026-02-18 00:20:00,0,0.0,0Z,0
2026-02-18 00:21:00,0,0.0,0Z,0
2026-02-18 00:22:00,0,0.0,0Z,0
2026-02-18 00:23:00,0,0.0,0Z,0
2026-02-18 00:24:00,0,0.0,0Z,0
2026-02-18 00:25:00,0,0.0,0Z,0
2026-02-18 00:26:00,0,0.33,0P,0
2026-02-18 00:27:00,0,0.33,0P,0
2026-02-18 00:28:00,0,0.33,0P,0
2026-02-18 00:29:00,0,0.33,0P,0
2026-02-18 00:30:00,0,0.33,0P,0
2026-02-18 00:31:00,0,0.33,0P,0
2026-02-18 00:32:00,0,0.33,0P,0
2026-02-18 00:33:00,0,0.33,0P,0
2026-02-18 00:34:00,0,0.33,0P,0
2026-02-18 00:35:00,0,0.33,0P,0
2026-02-18 00:36:00,0,0.33,0P,0
2026-02-18 00:37:00,0,0.33,0P,0
2026-02-18 00:38:00,0,0.33,0P,0
2026-02-18 00:39:00,0,0.33,0P,0
2026-02-18 00:40:00,0,0.33,0P,0
2026-02-18 00:41:00,1,0.67,1M,1
2026-02-18 00:42:00,1,0.67,1M,1
2026-02-18 00:43:00,1,0.67,1M,1
2026-02-18 00:44:00,1,0.67,1M,1
2026-02-18 00:45:00,1,0.67,1M,1
2026-02-18 00:46:00,1,0.67,1M,1
2026-02-18 00:47:00,1,0.67,1M,1
2026-02-18 00:48:00,1,0.67,1M,1
2026-02-18 00:49:00,1,0.67,1M,1
2026-02-18 00:50:00,1,0.67,1M,1
2026-02-18 00:51:00,1,0.67,1M,1
2026-02-18 00:52:00,1,0.67,1M,1
2026-02-18 00:53:00,1,0.67,1M,1
2026-02-18 00:54:00,1,0.67,1M,1
2026-02-18 00:55:00,1,0.67,1M,1
2026-02-18 00:56:00,1,0.67,1M,1
2026-02-18 00:57:00,1,0.67,1M,1
2026-02-18 00:58:00,1,0.67,1M,1
2026-02-18 00:59:00,1,0.67,1M,1
2026-02-18 01:00:00,1,0.67,1M,1
2026-02-18 01:01:00,1,0.67,1M,1
2026-02-18 01:02:00,1,0.67,1M,1
2026-02-18 01:03:00,1,0.67,1M,1
2026-02-18 01:04:00,1,1.0,1Z,1
2026-02-18 01:05:00,1,1.0,1Z,1
2026-02-18 01:06:00,1,1.0,1Z,1
2026-02-18 01:07:00,1,1.0,1Z,1
2026-02-18 01:08:00,1,1.0,1Z,1
2026-02-18 01:09:00,1,1.33,1P,1
2026-02-18 01:10:00,1,1.33,1P,1
2026-02-18 01:11:00,1,1.33,1P,1
2026-02-18 01:12:00,1,1.33,1P,1
2026-02-18 01:13:00,1,1.33,1P,1
2026-02-18 01:14:00,2,1.67,2M,2
2026-02-18 01:15:00,2,1.67,2M,2
2026-02-18 01:16:00,2,1.67,2M,2
2026-02-18 01:17:00,2,1.67,2M,2
2026-02-18 01:18:00,2,1.67,2M,2
2026-02-18 01:19:00,2,1.67,2M,2
2026-02-18 01:20:00,2,1.67,2M,2
2026-02-18 01:21:00,2,1.67,2M,2
2026-02-18 01:22:00,2,1.67,2M,2
2026-02-18 01:23:00,2,1.67,2M,2
2026-02-18 01:24:00,2,1.67,2M,2
2026-02-18 01:25:00,2,1.67,2M,2
2026-02-18 01:26:00,2,1.67,2M,2
2026-02-18 01:27:00,2,1.67,2M,2
2026-02-18 01:28:00,2,1.67,2M,2
2026-02-18 01:29:00,2,1.67,2M,2
2026-02-18 01:30:00,2,1.67,2M,2
2026-02-18 01:31:00,2,1.67,2M,2
2026-02-18 01:32:00,2,1.67,2M,2
2026-02-18 01:33:00,2,1.67,2M,2
2026-02-18 01:34:00,2,1.67,2M,2
2026-02-18 01:35:00,2,1.67,2M,2
2026-02-18 01:36:00,2,1.67,2M,2
2026-02-18 01:37:00,2,1.67,2M,2
2026-02-18 01:38:00,2,2.0,2Z,2
2026-02-18 01:39:00,2,2.0,2Z,2
2026-02-18 01:40:00,2,2.0,2Z,2
2026-02-18 01:41:00,2,2.0,2Z,2
2026-02-18 01:42:00,2,2.0,2Z,2
2026-02-18 01:43:00,2,2.0,2Z,2
2026-02-18 01:44:00,2,2.0,2Z,2
2026-02-18 01:45:00,2,2.0,2Z,2
2026-02-18 01:46:00,2,2.0,2Z,2
2026-02-18 01:47:00,2,2.0,2Z,2
2026-02-18 01:48:00,2,2.0,2Z,2
2026-02-18 01:49:00,2,2.0,2Z,2
2026-02-18 01:50:00,2,2.0,2Z,2
2026-02-18 01:51:00,2,2.0,2Z,2
2026-02-18 01:52:00,2,2.0,2Z,2
2026-02-18 01:53:00,2,2.0,2Z,2
2026-02-18 01:54:00,2,2.0,2Z,2
2026-02-18 01:55:00,2,2.0,2Z,2
2026-02-18 01:56:00,2,2.0,2Z,2
2026-02-18 01:57:00,2,2.0,2Z,2
2026-02-18 01:58:00,2,2.0,2Z,2
2026-02-18 01:59:00,2,2.0,2Z,2
2026-02-18 02:00:00,2,2.0,2Z,2
2026-02-18 02:01:00,2,2.0,2Z,2
2026-02-18 02:02:00,2,2.0,2Z,2
2026-02-18 02:03:00,2,2.0,2Z,2
2026-02-18 02:04:00,2,2.0,2Z,2
2026-02-18 02:05:00,2,2.0,2Z,2
2026-02-18 02:06:00,2,2.0,2Z,2
2026-02-18 02:07:00,2,2.0,2Z,2
2026-02-18 02:08:00,2,2.0,2Z,2
2026-02-18 02:09:00,2,2.0,2Z,2
2026-02-18 02:10:00,2,2.0,2Z,2
2026-02-18 02:11:00,2,2.0,2Z,2
2026-02-18 02:12:00,2,2.0,2Z,2
2026-02-18 02:13:00,2,2.0,2Z,2
2026-02-18 02:14:00,2,2.0,2Z,2
2026-02-18 02:15:00,2,2.0,2Z,2
2026-02-18 02:16:00,2,2.0,2Z,2
2026-02-18 02:17:00,2,2.0,2Z,2
2026-02-18 02:18:00,2,2.0,2Z,2
2026-02-18 02:19:00,2,2.0,2Z,2
2026-02-18 02:20:00,2,2.0,2Z,2
2026-02-18 02:21:00,2,2.0,2Z,2
2026-02-18 02:22:00,2,2.0,2Z,2
2026-02-18 02:23:00,2,2.0,2Z,2
2026-02-18 02:24:00,2,2.0,2Z,2
2026-02-18 02:25:00,2,2.0,2Z,2
2026-02-18 02:26:00,2,2.0,2Z,2
2026-02-18 02:27:00,2,2.0,2Z,2
2026-02-18 02:28:00,2,2.0,2Z,2
2026-02-18 02:29:00,2,2.0,2Z,2
2026-02-18 02:30:00,2,2.0,2Z,2
2026-02-18 02:31:00,2,2.0,2Z,2
2026-02-18 02:32:00,2,2.0,2Z,2
2026-02-18 02:33:00,2,2.0,2Z,2
2026-02-18 02:34:00,2,2.33,2P,2
2026-02-18 02:35:00,2,2.33,2P,2
2026-02-18 02:36:00,2,2.33,2P,2
2026-02-18 02:37:00,2,2.33,2P,2
2026-02-18 02:38:00,2,2.33,2P,2
2026-02-18 02:39:00,2,2.33,2P,2
2026-02-18 02:40:00,2,2.33,2P,2
2026-02-18 02:41:00,2,2.33,2P,2
2026-02-18 02:42:00,2,2.33,2P,2
2026-02-18 02:43:00,2,2.33,2P,2
2026-02-18 02:44:00,2,2.33,2P,2
2026-02-18 02:45:00,2,2.33,2P,2
2026-02-18 02:46:00,2,2.33,2P,2
2026-02-18 02:47:00,2,2.33,2P,2
2026-02-18 02:48:00,2,2.33,2P,2
2026-02-18 02:49:00,2,2.33,2P,2
2026-02-18 02:50:00,2,2.33,2P,2
2026-02-18 02:51:00,2,2.33,2P,2
2026-02-18 02:52:00,2,2.33,2P,2
2026-02-18 02:53:00,2,2.33,2P,2
2026-02-18 02:54:00,2,2.33,2P,2
2026-02-18 02:55:00,2,2.33,2P,2
2026-02-18 02:56:00,2,2.33,2P,2
2026-02-18 02:57:00,2,2.33,2P,2
2026-02-18 02:58:00,2,2.33,2P,2
2026-02-18 02:59:00,2,2.33,2P,2
2026-02-18 03:00:00,0,0.0,0Z,0
2026-02-18 03:01:00,0,0.0,0Z,0
2026-02-18 03:02:00,0,0.0,0Z,0
2026-02-18 03:03:00,0,0.0,0Z,0
2026-02-18 03:04:00,0,0.0,0Z,0
2026-02-18 03:05:00,0,0.0,0Z,0
2026-02-18 03:06:00,0,0.0,0Z,0
2026-02-18 03:07:00,0,0.0,0Z,0
2026-02-18 03:08:00,0,0.0,0Z,0
2026-02-18 03:09:00,0,0.0,0Z,0
2026-02-18 03:10:00,0,0.0,0Z,0
2026-02-18 03:11:00,0,0.0,0Z,0
2026-02-18 03:12:00,0,0.33,0P,0
2026-02-18 03:13:00,0,0.33,0P,0
2026-02-18 03:14:00,0,0.33,0P,0
2026-02-18 03:15:00,0,0.33,0P,0
2026-02-18 03:16:00,0,0.33,0P,0
2026-02-18 03:17:00,0,0.33,0P,0
2026-02-18 03:18:00,0,0.33,0P,0
2026-02-18 03:19:00,0,0.33,0P,0
2026-02-18 03:20:00,0,0.33,0P,0
2026-02-18 03:21:00,0,0.33,0P,0
2026-02-18 03:22:00,1,1.33,1P,1
2026-02-18 03:23:00,1,1.33,1P,1
2026-02-18 03:24:00,2,1.67,2M,2
2026-02-18 03:25:00,2,1.67,2M,2
2026-02-18 03:26:00,2,1.67,2M,2
2026-02-18 03:27:00,2,1.67,2M,2
2026-02-18 03:28:00,2,1.67,2M,2
2026-02-18 03:29:00,2,1.67,2M,2
2026-02-18 03:30:00,2,1.67,2M,2
2026-02-18 03:31:00,2,1.67,2M,2
2026-02-18 03:32:00,2,1.67,2M,2
2026-02-18 03:33:00,2,1.67,2M,2
2026-02-18 03:34:00,2,1.67,2M,2
2026-02-18 03:35:00,2,1.67,2M,2
2026-02-18 03:36:00,2,1.67,2M,2
2026-02-18 03:37:00,2,1.67,2M,2
2026-02-18 03:38:00,2,1.67,2M,2
2026-02-18 03:39:00,2,1.67,2M,2
2026-02-18 03:40:00,2,2.0,2Z,2
2026-02-18 03:41:00,2,2.0,2Z,2
2026-02-18 03:42:00,2,1.67,2M,2
2026-02-18 03:43:00,2,1.67,2M,2
2026-02-18 03:44:00,1,1.33,1P,1
